,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tick,name,market_cap,volume,ipo_year,sector,industry,country,exchange,low_today,high_today,low_52,high_52,previous_close,_pe,_yield,_eps,_annualized_dividend,raw_dividends,num_surviving_years_thru_recession,num_surviving_years_since_ipo,num_streak,streak_start_date,incremental_percentage
1841,,0,8,AAPL,Apple Inc. Common Stock,2549282473600.0,64491958,1980.0,Technology,Computer Manufacturing,United States,nasdaq,147.55,145.0,182.94,129.04,146.35,23.87,0.64,6.16,0.92,"[{'exOrEffDate': '05/06/2022', 'type': 'CASH', 'amount': '$0.23', 'declarationDate': '04/28/2022', 'recordDate': '05/09/2022', 'paymentDate': '05/12/2022'}, {'exOrEffDate': '02/04/2022', 'type': 'CASH', 'amount': '$0.22', 'declarationDate': '01/27/2022', 'recordDate': '02/07/2022', 'paymentDate': '02/10/2022'}, {'exOrEffDate': '11/05/2021', 'type': 'CASH', 'amount': '$0.22', 'declarationDate': '10/28/2021', 'recordDate': '11/08/2021', 'paymentDate': '11/11/2021'}, {'exOrEffDate': '08/06/2021', 'type': 'CASH', 'amount': '$0.22', 'declarationDate': '07/27/2021', 'recordDate': '08/09/2021', 'paymentDate': '08/12/2021'}, {'exOrEffDate': '05/07/2021', 'type': 'CASH', 'amount': '$0.22', 'declarationDate': '04/28/2021', 'recordDate': '05/10/2021', 'paymentDate': '05/13/2021'}, {'exOrEffDate': '02/05/2021', 'type': 'CASH', 'amount': '$0.205', 'declarationDate': '01/27/2021', 'recordDate': '02/08/2021', 'paymentDate': '02/11/2021'}, {'exOrEffDate': '11/06/2020', 'type': 'CASH', 'amount': '$0.205', 'declarationDate': '10/29/2020', 'recordDate': '11/09/2020', 'paymentDate': '11/12/2020'}, {'exOrEffDate': '08/07/2020', 'type': 'CASH', 'amount': '$0.82', 'declarationDate': '07/30/2020', 'recordDate': '08/10/2020', 'paymentDate': '08/13/2020'}, {'exOrEffDate': '05/08/2020', 'type': 'CASH', 'amount': '$0.82', 'declarationDate': '04/30/2020', 'recordDate': '05/11/2020', 'paymentDate': '05/14/2020'}, {'exOrEffDate': '02/07/2020', 'type': 'CASH', 'amount': '$0.77', 'declarationDate': '01/28/2020', 'recordDate': '02/10/2020', 'paymentDate': '02/13/2020'}, {'exOrEffDate': '11/07/2019', 'type': 'CASH', 'amount': '$0.77', 'declarationDate': '10/30/2019', 'recordDate': '11/11/2019', 'paymentDate': '11/14/2019'}, {'exOrEffDate': '08/09/2019', 'type': 'CASH', 'amount': '$0.77', 'declarationDate': '07/30/2019', 'recordDate': '08/12/2019', 'paymentDate': '08/15/2019'}, {'exOrEffDate': '05/10/2019', 'type': 'CASH', 'amount': '$0.77', 'declarationDate': '04/30/2019', 'recordDate': '05/13/2019', 'paymentDate': '05/16/2019'}, {'exOrEffDate': '02/08/2019', 'type': 'CASH', 'amount': '$0.73', 'declarationDate': '01/29/2019', 'recordDate': '02/11/2019', 'paymentDate': '02/14/2019'}, {'exOrEffDate': '11/08/2018', 'type': 'CASH', 'amount': '$0.73', 'declarationDate': '11/01/2018', 'recordDate': '11/12/2018', 'paymentDate': '11/15/2018'}, {'exOrEffDate': '08/10/2018', 'type': 'CASH', 'amount': '$0.73', 'declarationDate': '07/31/2018', 'recordDate': '08/13/2018', 'paymentDate': '08/16/2018'}, {'exOrEffDate': '05/11/2018', 'type': 'CASH', 'amount': '$0.73', 'declarationDate': '05/01/2018', 'recordDate': '05/14/2018', 'paymentDate': '05/17/2018'}, {'exOrEffDate': '02/09/2018', 'type': 'CASH', 'amount': '$0.63', 'declarationDate': '02/01/2018', 'recordDate': '02/12/2018', 'paymentDate': '02/15/2018'}, {'exOrEffDate': '11/10/2017', 'type': 'CASH', 'amount': '$0.63', 'declarationDate': '11/02/2017', 'recordDate': '11/13/2017', 'paymentDate': '11/16/2017'}, {'exOrEffDate': '08/10/2017', 'type': 'CASH', 'amount': '$0.63', 'declarationDate': '08/01/2017', 'recordDate': '08/14/2017', 'paymentDate': '08/17/2017'}, {'exOrEffDate': '05/11/2017', 'type': 'CASH', 'amount': '$0.63', 'declarationDate': '05/02/2017', 'recordDate': '05/15/2017', 'paymentDate': '05/18/2017'}, {'exOrEffDate': '02/09/2017', 'type': 'CASH', 'amount': '$0.57', 'declarationDate': '01/31/2017', 'recordDate': '02/13/2017', 'paymentDate': '02/16/2017'}, {'exOrEffDate': '11/03/2016', 'type': 'CASH', 'amount': '$0.57', 'declarationDate': '10/25/2016', 'recordDate': '11/07/2016', 'paymentDate': '11/10/2016'}, {'exOrEffDate': '08/04/2016', 'type': 'CASH', 'amount': '$0.57', 'declarationDate': '07/26/2016', 'recordDate': '08/08/2016', 'paymentDate': '08/11/2016'}, {'exOrEffDate': '05/05/2016', 'type': 'CASH', 'amount': '$0.57', 'declarationDate': '04/26/2016', 'recordDate': '05/09/2016', 'paymentDate': '05/12/2016'}, {'exOrEffDate': '02/04/2016', 'type': 'CASH', 'amount': '$0.52', 'declarationDate': '01/26/2016', 'recordDate': '02/08/2016', 'paymentDate': '02/11/2016'}, {'exOrEffDate': '11/05/2015', 'type': 'CASH', 'amount': '$0.52', 'declarationDate': '10/27/2015', 'recordDate': '11/09/2015', 'paymentDate': '11/12/2015'}, {'exOrEffDate': '08/06/2015', 'type': 'CASH', 'amount': '$0.52', 'declarationDate': '07/21/2015', 'recordDate': '08/10/2015', 'paymentDate': '08/13/2015'}, {'exOrEffDate': '05/07/2015', 'type': 'CASH', 'amount': '$0.52', 'declarationDate': '04/27/2015', 'recordDate': '05/11/2015', 'paymentDate': '05/14/2015'}, {'exOrEffDate': '02/05/2015', 'type': 'CASH', 'amount': '$0.47', 'declarationDate': '01/27/2015', 'recordDate': '02/09/2015', 'paymentDate': '02/12/2015'}, {'exOrEffDate': '11/06/2014', 'type': 'CASH', 'amount': '$0.47', 'declarationDate': '10/20/2014', 'recordDate': '11/10/2014', 'paymentDate': '11/13/2014'}, {'exOrEffDate': '08/07/2014', 'type': 'CASH', 'amount': '$0.47', 'declarationDate': '07/22/2014', 'recordDate': '08/11/2014', 'paymentDate': '08/14/2014'}, {'exOrEffDate': '05/08/2014', 'type': 'CASH', 'amount': '$3.29', 'declarationDate': '04/23/2014', 'recordDate': '05/12/2014', 'paymentDate': '05/15/2014'}, {'exOrEffDate': '02/06/2014', 'type': 'CASH', 'amount': '$3.05', 'declarationDate': '01/27/2014', 'recordDate': '02/10/2014', 'paymentDate': '02/13/2014'}, {'exOrEffDate': '11/06/2013', 'type': 'CASH', 'amount': '$3.05', 'declarationDate': '10/28/2013', 'recordDate': '11/11/2013', 'paymentDate': '11/14/2013'}, {'exOrEffDate': '08/08/2013', 'type': 'CASH', 'amount': '$3.05', 'declarationDate': '07/23/2013', 'recordDate': '08/12/2013', 'paymentDate': '08/15/2013'}, {'exOrEffDate': '05/09/2013', 'type': 'CASH', 'amount': '$3.05', 'declarationDate': '04/23/2013', 'recordDate': '05/13/2013', 'paymentDate': '05/16/2013'}, {'exOrEffDate': '02/07/2013', 'type': 'CASH', 'amount': '$2.65', 'declarationDate': '01/23/2013', 'recordDate': '02/11/2013', 'paymentDate': '02/14/2013'}, {'exOrEffDate': '11/07/2012', 'type': 'CASH', 'amount': '$2.65', 'declarationDate': '10/25/2012', 'recordDate': '11/12/2012', 'paymentDate': '11/15/2012'}, {'exOrEffDate': '08/09/2012', 'type': 'CASH', 'amount': '$2.65', 'declarationDate': '07/24/2012', 'recordDate': '08/13/2012', 'paymentDate': '08/16/2012'}, {'exOrEffDate': '11/21/1995', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '11/21/1995', 'paymentDate': 'N/A'}, {'exOrEffDate': '08/16/1995', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '08/16/1995', 'paymentDate': 'N/A'}, {'exOrEffDate': '05/26/1995', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '05/26/1995', 'paymentDate': 'N/A'}, {'exOrEffDate': '02/13/1995', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '02/13/1995', 'paymentDate': 'N/A'}, {'exOrEffDate': '11/18/1994', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '11/18/1994', 'paymentDate': 'N/A'}, {'exOrEffDate': '08/15/1994', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '08/15/1994', 'paymentDate': 'N/A'}, {'exOrEffDate': '05/27/1994', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '05/27/1994', 'paymentDate': 'N/A'}, {'exOrEffDate': '02/07/1994', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '02/07/1994', 'paymentDate': 'N/A'}, {'exOrEffDate': '11/19/1993', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '11/19/1993', 'paymentDate': 'N/A'}, {'exOrEffDate': '08/16/1993', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '08/16/1993', 'paymentDate': 'N/A'}, {'exOrEffDate': '05/28/1993', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '05/28/1993', 'paymentDate': 'N/A'}, {'exOrEffDate': '02/12/1993', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '02/12/1993', 'paymentDate': 'N/A'}, {'exOrEffDate': '11/30/1992', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '11/30/1992', 'paymentDate': 'N/A'}, {'exOrEffDate': '08/17/1992', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '08/17/1992', 'paymentDate': 'N/A'}, {'exOrEffDate': '06/01/1992', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '06/01/1992', 'paymentDate': 'N/A'}, {'exOrEffDate': '02/14/1992', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '02/14/1992', 'paymentDate': 'N/A'}, {'exOrEffDate': '11/18/1991', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '11/18/1991', 'paymentDate': 'N/A'}, {'exOrEffDate': '08/19/1991', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '08/19/1991', 'paymentDate': 'N/A'}, {'exOrEffDate': '05/20/1991', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '05/20/1991', 'paymentDate': 'N/A'}, {'exOrEffDate': '02/15/1991', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '02/15/1991', 'paymentDate': 'N/A'}, {'exOrEffDate': '11/16/1990', 'type': 'CASH', 'amount': '$0.12', 'declarationDate': 'N/A', 'recordDate': '11/16/1990', 'paymentDate': 'N/A'}, {'exOrEffDate': '08/20/1990', 'type': 'CASH', 'amount': '$0.11', 'declarationDate': 'N/A', 'recordDate': '08/20/1990', 'paymentDate': 'N/A'}, {'exOrEffDate': '05/21/1990', 'type': 'CASH', 'amount': '$0.11', 'declarationDate': 'N/A', 'recordDate': '05/21/1990', 'paymentDate': 'N/A'}, {'exOrEffDate': '02/16/1990', 'type': 'CASH', 'amount': '$0.11', 'declarationDate': 'N/A', 'recordDate': '02/16/1990', 'paymentDate': 'N/A'}, {'exOrEffDate': '11/17/1989', 'type': 'CASH', 'amount': '$0.11', 'declarationDate': 'N/A', 'recordDate': '11/17/1989', 'paymentDate': 'N/A'}, {'exOrEffDate': '08/21/1989', 'type': 'CASH', 'amount': '$0.10', 'declarationDate': 'N/A', 'recordDate': '08/21/1989', 'paymentDate': 'N/A'}, {'exOrEffDate': '05/22/1989', 'type': 'CASH', 'amount': '$0.10', 'declarationDate': 'N/A', 'recordDate': '05/22/1989', 'paymentDate': 'N/A'}, {'exOrEffDate': '02/17/1989', 'type': 'CASH', 'amount': '$0.10', 'declarationDate': 'N/A', 'recordDate': '02/17/1989', 'paymentDate': 'N/A'}, {'exOrEffDate': '11/21/1988', 'type': 'CASH', 'amount': '$0.10', 'declarationDate': 'N/A', 'recordDate': '11/21/1988', 'paymentDate': 'N/A'}]",2,34,40,08/09/2012,0.3235396621337399
1869,,28,7766,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,422694451303.0,10001473,1997.0,Technology,Semiconductors,Taiwan,nyse,82.16,79.76,145.0,73.74,80.65,17.88,1.95,4.56,1.461,"[{'exOrEffDate': '09/15/2022', 'type': 'CASH', 'amount': '$0.365', 'declarationDate': '05/10/2022', 'recordDate': '09/16/2022', 'paymentDate': '10/13/2022'}, {'exOrEffDate': '06/16/2022', 'type': 'CASH', 'amount': '$0.369', 'declarationDate': '02/15/2022', 'recordDate': '06/17/2022', 'paymentDate': '07/14/2022'}, {'exOrEffDate': '03/16/2022', 'type': 'CASH', 'amount': '$0.387', 'declarationDate': '11/09/2021', 'recordDate': '03/17/2022', 'paymentDate': '04/14/2022'}, {'exOrEffDate': '12/16/2021', 'type': 'CASH', 'amount': '$0.392', 'declarationDate': '08/11/2021', 'recordDate': '12/17/2021', 'paymentDate': '01/13/2022'}, {'exOrEffDate': '09/16/2021', 'type': 'CASH', 'amount': '$0.392', 'declarationDate': '06/10/2021', 'recordDate': '09/17/2021', 'paymentDate': '10/14/2021'}, {'exOrEffDate': '06/17/2021', 'type': 'CASH', 'amount': '$0.356', 'declarationDate': '02/09/2021', 'recordDate': '06/18/2021', 'paymentDate': '07/15/2021'}, {'exOrEffDate': '03/17/2021', 'type': 'CASH', 'amount': '$0.354', 'declarationDate': '11/10/2020', 'recordDate': '03/18/2021', 'paymentDate': '04/15/2021'}, {'exOrEffDate': '12/17/2020', 'type': 'CASH', 'amount': '$0.349', 'declarationDate': '08/12/2020', 'recordDate': '12/18/2020', 'paymentDate': '01/14/2021'}, {'exOrEffDate': '09/17/2020', 'type': 'CASH', 'amount': '$0.337', 'declarationDate': '05/14/2020', 'recordDate': '09/18/2020', 'paymentDate': '10/15/2020'}, {'exOrEffDate': '06/18/2020', 'type': 'CASH', 'amount': '$0.332', 'declarationDate': '02/12/2020', 'recordDate': '06/19/2020', 'paymentDate': '07/16/2020'}, {'exOrEffDate': '03/19/2020', 'type': 'CASH', 'amount': '$0.329', 'declarationDate': '11/14/2019', 'recordDate': '03/20/2020', 'paymentDate': '04/16/2020'}, {'exOrEffDate': '12/19/2019', 'type': 'CASH', 'amount': '$0.324', 'declarationDate': 'N/A', 'recordDate': '12/20/2019', 'paymentDate': '01/16/2020'}, {'exOrEffDate': '09/19/2019', 'type': 'CASH', 'amount': '$0.253', 'declarationDate': '07/09/2019', 'recordDate': '09/20/2019', 'paymentDate': '10/17/2019'}, {'exOrEffDate': '06/24/2019', 'type': 'CASH', 'amount': '$1.018', 'declarationDate': 'N/A', 'recordDate': '06/25/2019', 'paymentDate': '07/18/2019'}, {'exOrEffDate': '06/25/2018', 'type': 'CASH', 'amount': '$1.036', 'declarationDate': '06/13/2018', 'recordDate': '06/26/2018', 'paymentDate': '07/19/2018'}, {'exOrEffDate': '06/26/2017', 'type': 'CASH', 'amount': '$0.921', 'declarationDate': '07/17/2017', 'recordDate': '06/28/2017', 'paymentDate': '07/20/2017'}, {'exOrEffDate': '06/27/2016', 'type': 'CASH', 'amount': '$0.752', 'declarationDate': '07/15/2016', 'recordDate': '06/29/2016', 'paymentDate': '07/21/2016'}, {'exOrEffDate': '06/29/2015', 'type': 'CASH', 'amount': '$0.578', 'declarationDate': '07/17/2015', 'recordDate': '07/01/2015', 'paymentDate': '07/23/2015'}, {'exOrEffDate': '07/14/2014', 'type': 'CASH', 'amount': '$0.40', 'declarationDate': '08/01/2014', 'recordDate': '07/16/2014', 'paymentDate': '08/06/2014'}, {'exOrEffDate': '07/03/2013', 'type': 'CASH', 'amount': '$0.401', 'declarationDate': '07/24/2013', 'recordDate': '07/08/2013', 'paymentDate': '07/29/2013'}]",1,9,14,06/24/2019,0.192300388051737
1872,,31,7985,WMT,Walmart Inc. Common Stock,343740216270.0,4916012,0.0,Consumer Discretionary,Department/Specialty Retail Stores,United States,nyse,126.61,125.15,160.77,117.27,125.32,26.97,1.79,4.65,2.24,"[{'exOrEffDate': '08/11/2022', 'type': 'CASH', 'amount': '$0.56', 'declarationDate': '02/17/2022', 'recordDate': '08/12/2022', 'paymentDate': '09/06/2022'}, {'exOrEffDate': '05/05/2022', 'type': 'CASH', 'amount': '$0.56', 'declarationDate': '02/17/2022', 'recordDate': '05/06/2022', 'paymentDate': '05/31/2022'}, {'exOrEffDate': '03/17/2022', 'type': 'CASH', 'amount': '$0.56', 'declarationDate': '02/17/2022', 'recordDate': '03/18/2022', 'paymentDate': '04/04/2022'}, {'exOrEffDate': '12/09/2021', 'type': 'CASH', 'amount': '$0.55', 'declarationDate': '02/18/2021', 'recordDate': '12/10/2021', 'paymentDate': '01/03/2022'}, {'exOrEffDate': '08/12/2021', 'type': 'CASH', 'amount': '$0.55', 'declarationDate': '02/18/2021', 'recordDate': '08/13/2021', 'paymentDate': '09/07/2021'}, {'exOrEffDate': '05/06/2021', 'type': 'CASH', 'amount': '$0.55', 'declarationDate': '02/18/2021', 'recordDate': '05/07/2021', 'paymentDate': '06/01/2021'}, {'exOrEffDate': '03/18/2021', 'type': 'CASH', 'amount': '$0.55', 'declarationDate': '02/18/2021', 'recordDate': '03/19/2021', 'paymentDate': '04/05/2021'}, {'exOrEffDate': '12/10/2020', 'type': 'CASH', 'amount': '$0.54', 'declarationDate': '02/18/2020', 'recordDate': '12/11/2020', 'paymentDate': '01/04/2021'}, {'exOrEffDate': '08/13/2020', 'type': 'CASH', 'amount': '$0.54', 'declarationDate': 'N/A', 'recordDate': '08/14/2020', 'paymentDate': '09/08/2020'}, {'exOrEffDate': '05/07/2020', 'type': 'CASH', 'amount': '$0.54', 'declarationDate': 'N/A', 'recordDate': '05/08/2020', 'paymentDate': '06/01/2020'}, {'exOrEffDate': '03/19/2020', 'type': 'CASH', 'amount': '$0.54', 'declarationDate': 'N/A', 'recordDate': '03/20/2020', 'paymentDate': '04/06/2020'}, {'exOrEffDate': '12/05/2019', 'type': 'CASH', 'amount': '$0.53', 'declarationDate': '02/19/2019', 'recordDate': '12/06/2019', 'paymentDate': '01/02/2020'}, {'exOrEffDate': '08/08/2019', 'type': 'CASH', 'amount': '$0.53', 'declarationDate': '02/19/2019', 'recordDate': '08/09/2019', 'paymentDate': '09/03/2019'}, {'exOrEffDate': '05/09/2019', 'type': 'CASH', 'amount': '$0.53', 'declarationDate': '02/19/2019', 'recordDate': '05/10/2019', 'paymentDate': '06/03/2019'}, {'exOrEffDate': '03/14/2019', 'type': 'CASH', 'amount': '$0.53', 'declarationDate': '02/19/2019', 'recordDate': '03/15/2019', 'paymentDate': '04/01/2019'}, {'exOrEffDate': '12/06/2018', 'type': 'CASH', 'amount': '$0.52', 'declarationDate': '02/20/2018', 'recordDate': '12/07/2018', 'paymentDate': '01/02/2019'}, {'exOrEffDate': '08/09/2018', 'type': 'CASH', 'amount': '$0.52', 'declarationDate': '02/20/2018', 'recordDate': '08/10/2018', 'paymentDate': '09/04/2018'}, {'exOrEffDate': '05/10/2018', 'type': 'CASH', 'amount': '$0.52', 'declarationDate': '02/20/2018', 'recordDate': '05/11/2018', 'paymentDate': '06/04/2018'}, {'exOrEffDate': '03/08/2018', 'type': 'CASH', 'amount': '$0.52', 'declarationDate': '02/20/2018', 'recordDate': '03/09/2018', 'paymentDate': '04/02/2018'}, {'exOrEffDate': '12/07/2017', 'type': 'CASH', 'amount': '$0.51', 'declarationDate': '04/03/2017', 'recordDate': '12/08/2017', 'paymentDate': '01/02/2018'}, {'exOrEffDate': '08/09/2017', 'type': 'CASH', 'amount': '$0.51', 'declarationDate': '02/27/2017', 'recordDate': '08/11/2017', 'paymentDate': '09/05/2017'}, {'exOrEffDate': '05/10/2017', 'type': 'CASH', 'amount': '$0.51', 'declarationDate': '02/21/2017', 'recordDate': '05/12/2017', 'paymentDate': '06/05/2017'}, {'exOrEffDate': '03/08/2017', 'type': 'CASH', 'amount': '$0.51', 'declarationDate': '02/21/2017', 'recordDate': '03/10/2017', 'paymentDate': '04/03/2017'}, {'exOrEffDate': '12/07/2016', 'type': 'CASH', 'amount': '$0.50', 'declarationDate': '02/29/2016', 'recordDate': '12/09/2016', 'paymentDate': '01/03/2017'}, {'exOrEffDate': '08/10/2016', 'type': 'CASH', 'amount': '$0.50', 'declarationDate': '02/29/2016', 'recordDate': '08/12/2016', 'paymentDate': '09/06/2016'}, {'exOrEffDate': '05/11/2016', 'type': 'CASH', 'amount': '$0.50', 'declarationDate': '02/18/2016', 'recordDate': '05/13/2016', 'paymentDate': '06/06/2016'}, {'exOrEffDate': '03/09/2016', 'type': 'CASH', 'amount': '$0.50', 'declarationDate': '02/18/2016', 'recordDate': '03/11/2016', 'paymentDate': '04/04/2016'}, {'exOrEffDate': '12/02/2015', 'type': 'CASH', 'amount': '$0.49', 'declarationDate': '03/02/2015', 'recordDate': '12/04/2015', 'paymentDate': '01/04/2016'}, {'exOrEffDate': '08/05/2015', 'type': 'CASH', 'amount': '$0.49', 'declarationDate': '03/02/2015', 'recordDate': '08/07/2015', 'paymentDate': '09/08/2015'}, {'exOrEffDate': '05/06/2015', 'type': 'CASH', 'amount': '$0.49', 'declarationDate': '02/25/2015', 'recordDate': '05/08/2015', 'paymentDate': '06/01/2015'}, {'exOrEffDate': '03/11/2015', 'type': 'CASH', 'amount': '$0.49', 'declarationDate': '02/25/2015', 'recordDate': '03/13/2015', 'paymentDate': '04/06/2015'}, {'exOrEffDate': '12/03/2014', 'type': 'CASH', 'amount': '$0.48', 'declarationDate': '02/24/2014', 'recordDate': '12/05/2014', 'paymentDate': '01/05/2015'}, {'exOrEffDate': '08/06/2014', 'type': 'CASH', 'amount': '$0.48', 'declarationDate': '02/24/2014', 'recordDate': '08/08/2014', 'paymentDate': '09/03/2014'}, {'exOrEffDate': '05/07/2014', 'type': 'CASH', 'amount': '$0.48', 'declarationDate': '02/20/2014', 'recordDate': '05/09/2014', 'paymentDate': '06/02/2014'}, {'exOrEffDate': '03/07/2014', 'type': 'CASH', 'amount': '$0.48', 'declarationDate': '02/20/2014', 'recordDate': '03/11/2014', 'paymentDate': '04/01/2014'}, {'exOrEffDate': '12/04/2013', 'type': 'CASH', 'amount': '$0.47', 'declarationDate': '02/25/2013', 'recordDate': '12/06/2013', 'paymentDate': '01/02/2014'}]",1,9,4,12/09/2021,-0.0044642857142857
